symbol	A4_20	NBS1_40_2	NBS1_40Bleo_2	UJ_20	NBS1_20	NBS8_20	A4_40	NBS1_40	NBS1_40Bleo	UJ_40	UJ_40Bleo
ESPN	8.50314809612741	8.72579103469696	8.7393018706677	8.57429597988772	8.54145838844792	8.80340974444168	9.23088886317585	8.80829217307237	8.98178777206357	8.5378232654649	8.89257466273742
TAS1R1	5.26110578114434	6.09504205319378	5.96355627988675	5.48725186415606	5.63895615419261	5.54289924251159	6.40182330073821	6.00582562160735	5.89523196236119	5.85710305653655	5.77068296221553
ZBTB48	6.1572776258209	5.60441973070002	5.97804030729674	6.01206454519365	6.0551536892056	5.99638417483345	6.08259731269173	5.93070299581174	5.57658555847675	5.89596984004423	5.88066048096126
PHF13	7.86087317435019	7.9379425836508	7.35679384331679	8.23418437291887	7.9338922269692	8.09563332600565	7.98225137861846	7.83864685340604	7.7024468506312	7.77169488700931	7.61116392564231
THAP3	6.94751245518016	7.17551881114974	6.82729582382114	6.88827545836274	6.82181071210802	6.80998652633578	6.61227805171658	6.96032892650332	6.7305966957249	6.95915616902222	7.06015884414564
CAMTA1	10.9315225438377	10.3195837107954	10.2075875693591	11.0396491971429	11.0991309956585	10.6972534429744	10.6000139489267	10.5202506418842	10.1383019556905	10.6080762176357	9.97009446365904
VAMP3	9.16545350142739	8.20917993692301	8.17436916072502	8.91509308287138	8.92770587682039	9.18969909425638	8.15155249488707	7.7402614981414	8.00009531804759	7.96577891805525	8.02937292009358
PER3	7.39903198970106	6.86779431724012	7.24379288276069	7.61859153861005	7.11940213149339	8.18010730107897	6.0667158522886	6.46291620851816	6.06518526153395	7.04273248376094	6.90864487592875
PARK7	11.652927958082	11.4817150209903	11.4547026639694	11.7508211515639	11.7612440187451	11.6286749182837	11.5875947190028	11.432547212017	11.4821852716526	11.4882020104343	11.3310586700771
SLC45A1	6.2263339478213	6.20890460041365	6.46617226264237	6.36398899081928	6.37248236729602	6.53249728833091	6.63344598293177	7.1247356873517	6.77273417988375	6.4657997136998	6.54485496037902
ENO1	12.5785596656526	12.4430896118259	12.1414533906225	12.5019212887783	12.5475349936852	12.343520998398	12.4743390332824	12.4207929366616	11.8952957740446	12.6370720059205	11.9688919574349
CA6	4.93865606164414	5.4776761811886	5.81055164837707	5.20104540619267	5.36728377855797	5.07616949552649	5.84544247571026	4.99715775174563	5.57961852523634	4.82554148294797	5.40791304053677
H6PD	6.78525138242706	6.17256564269945	6.42106502812901	7.47806475798422	7.30285678062318	7.06149376110777	6.55235173472421	6.85568439910236	6.68188362798722	6.66530068900994	6.30920411401156
SPSB1	6.79019396241194	6.65018909382716	6.63113134280625	7.02876487361414	7.16675020113177	7.26758165601995	7.36613908048675	7.34550410384684	7.33469791624105	6.85830934765672	6.7477663753798
SLC25A33	8.86199965061691	8.24811607655283	7.98834042365528	8.52371361201495	8.66843137722793	8.7527395992719	8.05118126406363	8.34890090873207	7.89193775422491	8.31163829685892	7.79932397401047
TMEM201	8.3331555933388	8.53008581926285	8.56483730966279	8.39439908976862	8.35148657154255	8.69074392727546	8.77064441358832	8.59278320721312	8.88708752014911	8.64287543856964	8.64005599458786
PIK3CD	7.28911956755672	7.93804898563608	8.00814511577932	7.92934227610469	7.56977054073914	7.62487668800944	8.22441147651465	7.89267257247134	8.17184244108239	7.82404272850255	8.1328957854012
NMNAT1	7.59475181613638	6.72200437468299	6.63184393518645	7.50081190226685	7.80622836882308	6.3809236587766	6.78006214849875	6.89567916157327	6.5362679485745	7.1906361545703	6.91918144553413
RBP7	4.96851409746599	4.53716572612088	4.45649044853996	4.49085978540443	4.09975192905753	4.20929359689271	4.9974607883309	4.81843568980059	4.29106568499018	4.72436576096	4.45910565448009
UBE4B	9.60851633285408	9.47024687908739	9.40623429141977	9.34291420745607	9.32392019057496	10.1009500243364	9.01108783089837	9.09413514731524	9.03616317221145	9.38123608831523	9.1920079389805
KIF1B	9.89954620668295	10.2869507031769	10.2661940190897	9.55034616416343	9.30013590829927	10.0154982920642	9.43278676006254	10.0040821190346	9.89540018144861	9.92693238708773	9.88504373454954
PGD	9.42444455476408	9.56803513653739	9.4999073221198	10.0414938300955	9.96595264412094	9.79665474932857	9.64138121742808	9.48997160729902	9.46853422364966	9.88303579842532	9.3349045772442
APITD1-CORT	8.1594336259026	7.62690843991019	7.34907477798368	8.08476317838543	8.09411605313113	7.76090445213595	7.39339310618721	7.44711499904398	7.09772495272768	7.7801867362553	7.22106832595488
PEX14	8.08620586169905	8.01457961764243	8.28564294246941	8.27407144091596	8.1748410438319	8.68296367269321	7.95749481809181	7.86732700914085	8.20244219302423	8.09017213074761	8.18381655383731
TARDBP	10.5014516035461	10.3001261423023	10.2322312406327	10.4414609932182	10.5918471212328	10.3039574470785	10.005988449828	10.1494515459806	9.71208587928732	10.344817173084	10.0067267092657
ANGPTL7	5.63082092950438	5.86891279488048	6.20044617615221	6.1503187529488	6.08485800766733	6.46823943648455	6.97784794411104	6.66789708045139	6.65074789336443	5.99905039371265	6.29022856298956
UBIAD1	9.01287276833442	8.73358674154404	9.04728886408639	8.97484604679449	9.12996095183047	9.32572348402067	8.72178965269167	9.05662436113953	8.82566588487741	8.95934252576112	8.85593999423011
PTCHD2	7.26857069864679	8.09417490688139	8.09979349599989	7.84381528182356	7.98590254336536	8.53517474955034	8.25982874468232	8.15349145191334	8.15701233327596	7.88451649031355	7.94836768136263
FBXO44	7.47998794949717	8.36868409416759	8.881430879711	8.26297383830616	7.88101189597419	8.17771352652601	8.11423417401445	8.61024654095944	8.73074660545781	8.28378194894223	8.81151290619672
FBXO6	6.59980786960918	7.07165530597119	7.2380288446871	7.03961592759027	6.46695065445798	6.72447803092645	7.29579114475262	7.0347490343093	7.17062235056522	6.73028849257374	7.10126862854044
DRAXIN	8.97470690771171	9.15974313728183	8.91341971431943	9.13108287181971	9.12969614704333	8.92356586943652	8.92985479861839	9.241879310986	9.20684916763527	8.91509372712712	9.12292779267207
AGTRAP	8.7922033651155	7.52026639213289	7.95679642161704	9.17861470669722	9.28932600566762	9.01565317683833	7.91079983967665	7.64489430560308	7.78596012591502	7.58505562599693	7.63310458829171
C1orf167	7.01162232531612	7.12347015468061	7.18549358305963	7.17459645740353	7.34613213081338	7.57742783341029	7.65467670786488	7.37097075313581	7.70054511918799	7.67961136736666	7.30242564727398
