symbol	C2_72h_ctrl	C2_72h_bilirubin	UJ_24h_ctrl	UJ_24h_bilirubin	UJ_72h_ctrl	UJ_72h_bilirubin	C2_24h_ctrl	C2_24h_bilirubin
RSC1A1	8.48958904170625	8.35488790158012	7.84287218935196	8.08073404122498	7.97262634538041	8.0351572991727	8.58081893774763	8.21043254852694
PLEKHM2	8.82441482221397	8.73348709942277	8.54762036810759	8.62477093486154	8.74797443031665	8.53950772702045	8.808104564291	8.69604631673882
SLC25A34	8.7486795059744	8.63175217361494	8.84941352216431	8.63463877701118	8.7337083321162	9.04445677024684	8.44182286940224	8.84594266599506
TMEM82	7.62279037728929	7.55604468704437	8.0374373409663	7.71147542587179	7.71704683067413	7.83075464793687	7.40060787578896	7.68885700814231
FBLIM1	7.30570913200103	6.99998876802295	7.38622253957271	7.05262126721468	7.18581299886185	7.67604140337017	7.2674157446304	7.00282260494335
SPEN	10.0051077501378	10.1055987322253	9.31938439182719	9.70576683235015	9.67100873687671	9.27961202207682	10.0455557312586	9.97886480693976
C1orf64	7.200844789174	6.93090369785445	7.30979302426047	7.24017568821743	7.18730028761851	7.41336579853047	7.11405956368013	6.96109237778111
CLCNKB	6.48956828974129	6.13840078948614	6.35660653480834	6.31243020270295	6.53062600874	6.57934667868626	6.07386712776374	6.48306744616886
NECAP2	8.62322818757492	8.35870470647179	8.69720292514567	8.22955994669261	8.45922673892955	8.59220948466561	8.38722429692961	8.55071586142064
FAM231B	7.26924392396951	6.67046790436044	7.86981739765952	7.15170117587676	6.99188257100773	7.103855325067	6.6313472486725	7.2721132949711
FAM231C	7.88025780534842	7.6340854589748	8.3905768876139	7.96053175684158	8.44972258636071	8.31845628663196	7.47727068220571	7.9109312241803
CROCC	8.94994177970131	9.06653701722643	8.94340666385306	8.99799234047988	9.03148755199397	9.0743668773985	8.93337935755515	9.01216994032041
PADI1	7.32163219023618	6.76294743328124	7.6353188155032	7.09425759851698	7.32866576426927	6.89979647482132	6.92551464900219	7.11101308840336
PADI3	6.50181221451018	5.79711802763655	7.3479455098902	6.50208252135524	6.83016371696441	6.88473385793458	6.10611566302631	6.20919913279402
PADI4	7.02526145905878	6.73540676121554	6.5920492329561	6.57156608564435	6.30394275548158	6.8389808998024	6.66991688758806	6.95302248495177
PADI6	6.17761482753638	5.80922725741861	6.57463620335735	6.12071470030398	6.22004349369401	6.35241559544468	5.85743459073034	6.10181627563408
ARHGEF10L	7.2524919420747	7.30463057568073	7.34960743828318	7.15825792963339	7.33754056773093	7.36336256355016	7.37960264745469	7.15658760160876
ACTL8	6.16094123297207	5.84405925244825	6.33652763534547	6.05391954139301	6.18101815647017	6.15418205809598	5.73969937353971	6.21907812253355
IGSF21	7.38232224083685	7.06246462687945	6.96249988113401	6.94659796312277	6.98050038867868	7.34774907910377	7.26104542505723	7.13353102810594
KLHDC7A	5.28082397561035	5.29071018308654	5.41052989061964	5.22170919618762	4.71617194152853	5.49761529191608	4.92932967143193	5.58337457906223
PAX7	7.08914573059501	7.01615172067739	7.58606546596896	7.27893082326348	6.93245831316749	7.65682308775899	7.0525351991022	6.90912306629806
MRTO4	7.09457766303107	7.11773063345483	6.83168637098088	7.053383161698	6.82539332759343	6.7193161336704	7.2990089797345	7.02330828499344
PQLC2	8.80475031394029	8.50885837164042	8.73859028199772	8.62558608375897	8.54699359646906	8.83482124438386	8.55346323641561	8.70836364550788
HTR6	5.89103893478736	5.55846744928614	6.29667106681282	5.85523675103707	5.82528364445838	5.81828217241152	5.55400913722596	5.87690315616199
OTUD3	8.1891040715738	8.22540297629261	7.29573027408171	7.84623200401505	7.56956835147529	7.68360766051178	8.40866137812838	7.91145387733652
PLA2G5	8.17981740551905	7.53328184368688	8.69702842025136	8.13295507755884	8.34087919581258	8.83513602924936	7.66100729840028	8.02199620195571
PLA2G2F	6.29272052847699	5.90680973808971	6.66291008448627	6.39290100608722	6.54697314431193	6.42707515734468	6.09647545065051	6.09500463344208
UBXN10	7.00852821571523	6.80896266554018	6.87273824478379	6.73418471485219	6.934217406558	6.91175971867174	6.80410683146594	7.03855507090457
VWA5B1	7.60998218326544	7.54895154931394	7.8109478955904	7.83010326128856	7.77044053484324	7.72311641740009	7.60337839656246	7.59946065241508
FAM43B	6.63720472971444	6.26583958090953	6.51429322263098	6.72466416408009	6.49239818299304	6.14665946689164	6.52247963944277	6.42200969908619
CDA	5.45284094015326	4.82944739163484	5.81425926561488	5.02379607622194	5.21544398483536	5.36297067820016	5.03388584467203	5.17678375301452
PINK1	8.29062628152495	8.54925255307136	8.5590718466882	8.2163280708139	8.09856350763816	8.45767419322621	8.33481029432547	8.50233782288198
NBPF3	8.07493245217618	8.22456231052357	7.89020184455616	7.47863263326137	7.71185636208263	7.41900048094657	8.18095084647842	8.02776722652241
ALPL	6.44671503658635	5.93287445592256	5.82350352163997	6.02758949944341	5.67598160182986	5.85302533409707	6.43710389589083	6.0371885624155
