symbol	UMK1_con_1	UMK1_con_2	UMK1_PAN_1	UMK1_PAN_2	SPH_1	SPH_2
OR4F5	5.05791044451085	5.08120602510606	4.98643730877047	5.14555791695822	5.49906601315617	5.16612459008958
SAMD11	8.22855034555603	7.93441788002904	7.788896827784	7.90150477164864	7.73342119984692	7.67177709572927
KLHL17	8.12067542810555	7.93963460534862	7.8557720488403	8.05063681659513	8.04512009140206	8.1313453089301
PLEKHN1	6.82885754346808	6.85626667193729	6.76020378131758	6.71542654859572	6.79153350097223	6.55586880126658
ISG15	6.33460206434284	6.32257320282431	6.42914826965703	6.64932804041305	6.53253566179095	6.3144058411548
AGRN	8.73839945889632	8.80518352662906	8.990445601275	8.84484404651458	8.51302782376243	8.47468354478987
LINC01342	6.19380962692898	6.05304980080519	5.99288332994206	5.95005243923603	6.34307954060154	5.97187186250079
TTLL10	6.70378547188899	6.57726526331116	6.86464729406619	6.5962451330555	6.64909347595023	6.49215896798893
B3GALT6	8.7548501338716	8.74159498362076	9.07671763227972	9.03711968957135	8.63237423786667	8.67373037615883
SCNN1D	5.77190488323072	6.10800228096726	5.83814161929925	5.99011565797754	6.04815716325006	5.80877503065046
PUSL1	7.35664393987898	7.26059845536727	7.41190312132151	7.3701569960238	7.55540610729438	7.34059345846043
CPTP	7.92091945546851	7.76197922502437	7.94885927887971	8.21420513714198	7.7743648846674	7.45286687509882
TAS1R3	5.67908121081277	5.68855922132747	5.42640016008888	5.28941394091499	5.04631327391979	4.9725390802818
TMEM88B	6.094712967166	6.07906548906215	6.15955537995687	5.93454305375997	6.20411517601533	6.49653061513306
VWA1	8.39185868337335	8.11293828661546	8.48813457345227	8.45164934247487	8.08874443129757	7.84017392003412
ATAD3C	5.38685696478391	5.3467994752198	5.07845089365505	5.26585443135639	5.51259948596478	5.52459843931893
MIB2	7.02730023865673	7.17149270020761	7.32854657294132	7.33345425359485	7.36233143285465	6.98764015034616
CALML6	5.84840337485106	5.73885381999933	5.58931605237142	5.68797959669473	5.58350820090889	5.4664160972513
GABRD	5.095023859887	5.06661534929693	4.83739502229531	4.48135066407886	5.00664459739211	5.51391090956389
PRKCZ	10.3325424650815	10.5304447310125	10.7061841500516	10.5769484308416	10.1973285995046	10.1984308938694
SKI	7.79251084995428	7.98957782401333	8.33624194028548	8.14505432735802	7.76205152955796	7.93169838415561
RER1	10.0210599323847	10.0115577529727	10.2061640913405	10.290981092459	9.85136544740064	9.79977775130474
FAM213B	9.38715799592234	9.47318882426797	9.27217555503871	9.29651359343621	9.53131881531414	9.31860898758613
ACTRT2	5.9417313090102	5.1647913113503	5.73242972414848	5.78344388894759	5.51886214198283	5.47412409778269
PRDM16	7.76242589733186	7.65600184946755	7.22191341144522	7.31682866606289	8.35953691630417	8.35895097160309
ARHGEF16	7.62601015234684	7.51457539266299	7.59576618772506	7.49520652222422	7.34388902376372	7.1923644829045
TPRG1L	9.6992419049757	9.57614316192409	10.2151032778175	10.1405750406387	9.67369031008977	9.53280256102496
